time_s,ecg_mV,respiration,spo2_pct
0,-0.0171316461358921,-0.00499618907695679,96.9407909434288
0.002,0.0833508467293789,0.0576982010957653,97.1721721751898
0.004,-0.038276539368066,0.02632887260677,96.970935663743
0.006,0.131876427873433,0.0337464760742146,97.4094754279362
0.008,-0.000666821239651145,-0.0171103074276042,96.493589056289
0.01,0.0154973415418012,0.0379994524695202,96.9863283836729
0.012,0.0346896547370419,0.0299854110195295,96.9161384858449
0.014,0.00354667777924138,0.0472856651201085,97.5248200995261
0.016,-0.068903106040042,0.0505107383576019,97.0875699712477
0.018,-0.0661823422095093,0.0689613892629395,96.9337345520051
0.02,-0.0733356693927828,0.0380265469557997,96.966972024258
0.022,0.0567949677318439,0.0031318074067128,96.802033873284
0.024,-0.00051467794051623,-0.0230294005116016,97.0181427588557
0.026,-0.0621804692802427,0.0374729857417141,96.8891353793898
0.028,0.0417387396927242,0.0666785565487071,96.8459061839106
0.03,-0.00703658084158323,0.0685268507747877,97.3124871244709
0.032,0.0141448639923789,-0.0129006969326332,96.6215627817572
0.034,-0.0214875750113675,-0.00500020397671202,96.7630850853015
0.036,0.0559275995474358,0.057724411906284,96.7921321848805
0.038,0.0568793339914015,0.114405248440014,97.2643364044847
0.04,0.075058892869908,-0.00578227618720907,96.797221327686
0.042,0.0579440856438313,-0.0519121517281545,97.3881740284695
0.044,0.0632168761479754,-0.0428720203476239,96.8122270736446
0.046,0.036813199816179,0.0676091114595467,96.9255101060735
0.048,0.0656871576301055,0.14755261882872,97.1526284525332
0.05,0.0287098614782375,0.00772631106564397,97.1034121400957
0.052,0.0310458805692352,0.0584180745164244,96.7837400710429
0.054,0.21343545521989,0.0494924249101165,96.6538205560602
0.056,0.178054945681144,0.0772491823001693,96.9213645657476
0.058,0.0346494244840799,0.0215570360430564,97.1981509457326
0.06,0.0785716005751952,0.079138170086513,96.9521130650106
0.062,0.0927765518341172,-0.0223019955147212,97.0357719508756
0.064,0.18977870067064,-0.0281934857113673,97.0169152650446
0.066,0.185908249041416,0.0667215339532258,97.0326449993065
0.068,0.0489779535579918,0.037886534778186,96.819111632535
0.07,0.127024121792538,-0.0341936489123951,97.140141999018
0.072,0.0102346415466741,0.114497187983993,97.1494924255473
0.074,0.128703654786949,0.0938717911325126,97.079440183991
0.076,0.134936538956954,0.0959263862536878,96.698191245323
